,buy_status,payment_method_id,payment_method_resource,tx_id,tx_resource,buy_amount,buy_amount_currency,buy_total,buy_total_currency,buy_sub_total,buy_sub_total_currency,buy_date,buy_update_date,resource,buy_committed,buy_instant,buy_payout_date
17,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,5dcb958e-145f-509e-8ae8-60ff7cd8de6f,transaction,514.71979613,AMP,50.0,USD,48.01,USD,2021-06-15 13:25:13+00:00,2021-06-15 14:50:26+00:00,buy,True,True,2021-06-15 13:25:16+00:00
18,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,24a4e5ce-7ec7-59d9-9555-b1ababccf3f6,transaction,14.057849,ADA,20.0,USD,18.51,USD,2021-07-30 21:47:40+00:00,2021-07-30 22:15:34+00:00,buy,True,True,2021-07-30 21:47:39+00:00
19,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,a53cfb4f-ec6c-55e8-8e10-880100087b34,transaction,13.28087,ADA,20.0,USD,18.51,USD,2021-06-30 20:12:44+00:00,2021-06-30 21:37:02+00:00,buy,True,True,2021-06-30 20:12:48+00:00
20,completed,1763f008-b84d-544c-a458-4b29c80b9d14,payment_method,5f6320f1-c431-5eac-9fee-1282be4a4745,transaction,19.325101,ADA,25.0,USD,23.51,USD,2021-06-22 17:53:52+00:00,2021-06-22 17:53:57+00:00,buy,True,True,2021-06-22 17:53:54+00:00
21,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,902e558a-994b-55ff-bac0-230024d0a425,transaction,15.757129,ADA,25.0,USD,23.51,USD,2021-06-17 16:50:16+00:00,2021-06-17 17:51:54+00:00,buy,True,True,2021-06-17 16:50:21+00:00
22,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,0022cee6-4dda-59f6-820e-05533ede5249,transaction,6.44998921,MATIC,10.0,USD,9.01,USD,2021-08-26 20:38:13+00:00,2021-08-26 21:15:19+00:00,buy,True,True,2021-08-26 20:38:13+00:00
23,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,22a42144-a9ca-5f76-a7db-e6c7135dc204,transaction,6.36757294,MATIC,10.0,USD,9.01,USD,2021-08-19 22:50:35+00:00,2021-08-19 23:15:49+00:00,buy,True,True,2021-08-19 22:50:35+00:00
24,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,83b4dd18-8f39-5062-aa1e-369aed9645e1,transaction,6.98706964,MATIC,10.0,USD,9.01,USD,2021-08-12 22:26:58+00:00,2021-08-12 22:45:27+00:00,buy,True,True,2021-08-12 22:26:58+00:00
25,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,acb89ceb-4ff1-5191-b61a-fc6b3358b47b,transaction,8.44394239,MATIC,10.0,USD,9.01,USD,2021-08-05 21:04:42+00:00,2021-08-05 21:45:19+00:00,buy,True,True,2021-08-05 21:04:41+00:00
26,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,25d51c08-1c41-59f9-9fdf-4a0bdd67697d,transaction,8.87767221,MATIC,10.0,USD,9.01,USD,2021-07-29 22:16:04+00:00,2021-07-29 22:45:20+00:00,buy,True,True,2021-07-29 22:16:03+00:00
27,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,2cc982ce-aa8d-52f3-95f9-86f6acb1abda,transaction,10.09112386,MATIC,10.0,USD,9.01,USD,2021-07-22 20:59:18+00:00,2021-07-22 22:55:32+00:00,buy,True,True,2021-07-22 20:59:17+00:00
28,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,1d66830a-1493-529c-b747-df2f551202ac,transaction,10.17930095,MATIC,10.0,USD,9.01,USD,2021-07-15 22:44:29+00:00,2021-07-16 13:52:58+00:00,buy,True,True,2021-07-15 22:44:29+00:00
29,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,352b3d98-c971-5636-993d-204fc7b08daa,transaction,8.45907205,MATIC,10.0,USD,9.01,USD,2021-07-08 21:13:29+00:00,2021-07-08 22:59:56+00:00,buy,True,True,2021-07-08 21:13:29+00:00
30,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,3c1670a3-68ca-504c-b767-28f4c149a415,transaction,8.20301783,MATIC,10.0,USD,9.01,USD,2021-07-01 17:46:25+00:00,2021-07-01 20:13:18+00:00,buy,True,True,2021-07-01 17:46:25+00:00
31,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,8bc37525-fde5-51eb-ac12-150cac3f0a73,transaction,15.90905282,MATIC,20.0,USD,18.51,USD,2021-06-30 20:13:52+00:00,2021-06-30 21:37:07+00:00,buy,True,True,2021-06-30 20:13:54+00:00
32,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,e3f93d87-20fe-5e41-b033-c1de6cbc0f34,transaction,7.24263222,MATIC,10.0,USD,9.01,USD,2021-06-24 17:26:46+00:00,2021-06-24 19:51:53+00:00,buy,True,True,2021-06-24 17:26:45+00:00
33,completed,1763f008-b84d-544c-a458-4b29c80b9d14,payment_method,a4adcada-8596-5023-a466-c69920a7a04e,transaction,77.93263619,MATIC,100.0,USD,97.01,USD,2021-06-21 19:15:27+00:00,2021-06-21 19:15:35+00:00,buy,True,True,2021-06-21 19:15:32+00:00
34,completed,164bfc71-277f-5500-80b6-8236cc4f55e5,payment_method,56716ba5-01e9-5ce1-a24b-7c5c4cf311db,transaction,5.97280089,MATIC,10.0,USD,9.01,USD,2021-06-17 16:47:27+00:00,2021-06-17 17:52:52+00:00,buy,True,True,2021-06-17 16:47:32+00:00
35,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,1a8f1fc4-c645-59c8-bbe9-86fc560f419a,transaction,2.12121212,ENJ,5.0,USD,4.01,USD,2021-08-26 21:18:07+00:00,2021-08-26 21:45:19+00:00,buy,True,True,2021-08-26 21:18:07+00:00
